playerid,team,pos,eligibility,B/T,height,weight,grade,homestate,first,middle,last,suffix,jersey,homecity,school,draftstatus
1597592,NA,P,2022-06-16,R/R,75,210,4,NJ,Zack,,Bailey,,0,Hasbrouck Heights,Hofstra University, 
1610257,BR,C,2022-07-26,R/R,72,190,2,NY,Chris,,Baillargeon,,9,Staten Island,College of the Holy Cross, 
1592975,MY,P,2022-06-07,L/L,74,190,3,CT,Bowen,,Baker,,10,North Stonington,Fairfield University, 
1600543,KN,P,2022-07-01,R/R,72,200,4,RI,Erry,,Baldayac,,9,Providence,Rhode Island College, 
1552223,OS,P,2022-06-07,R/R,75,180,4,IN,Parker,,Bard,,16,Carmel,University of Dayton, 
1551360,NW,P,2022-06-07,R/R,79,225,3,MA,Seamus,,Barrett,,39,Arlington,University of Louisville, 
1598793,OS,I,2022-06-22,R/L,73,210,4,RI,Daniel,,Baruch,,19,Cranston,Boston College, 
1595741,WN,I,2022-06-08,R/R,75,220,4,CT,Ian,,Battipaglia,,26,Cheshire,Franklin Pierce University, 
1555798,NA,P,2022-06-07,R/R,73,220,3,MD,Nate,,Beal,,53,Reisterstown,University of Pennsylvania, 
1548169,MV,P,2022-06-07,R/R,74,180,2,MA,Jack,,Beauchesne,,30,Chelmsford,Northeastern University, 
1606064,VT,P,2022-07-21,R/R,68,155,3,VT,Nicholas,,Beavin,,7,East Montpelier,Norwich University, 
1600300,DN,I,2022-06-30,R/R,68,178,3,NY,Michael,,Becchetti,,11,Eastchester,Fairfield University, 
1553615,NW,I,2022-06-07,R/R,67,175,3,MA,Luke,,Beckstein,,1,Tyngsborough,Northeastern University, 
1603341,VL,P,2022-07-14,R/R,73,205,2,MA,Sam,,Belliveau,,30,Wenham,University of Massachusetts Amherst, 
1549099,MY,O,2022-06-07,L/L,74,202,2,FL,Michael,,Bello,,33,Ocoee,Auburn University, 
1568927,BR,P,2022-06-17,R/R,71,195,4,CT,Thomas,,Benincaso,,8,Norwalk,Eastern Connecticut State University, 
1585696,MV,C,2022-07-03,R/R,75,200,3,TX,Derek,,Berg,,10,Conroe,United States Military Academy, 
1572412,SN,I,2022-06-07,R/R,68,195,4,NJ,David,,Bermudez,,7,East Brunswick,Manhattan College, 
1576222,NS,I,2022-06-07,R/R,76,210,4,MA,Connor,,Bertsch,,33,West Roxbury,Dartmouth College, 
1555847,KN,P,2022-06-07,R/L,70,185,2,IN,Grant,,Besser,,36,Berne,Florida Southwestern State, 
1549183,DN,P,2022-06-07,R/R,76,195,4,NJ,Vincent,,Bianchi,,34,Middletown,Saint Johns University,2019 ANA 35th Rd
1577045,NA,I,2022-06-07,S/R,70,185,3,CA,Vincent,,Bianchina,,47,Lafayette,Northwestern University, 
1603665,VL,P,2022-07-16,L/L,72,160,2,NH,Jason,,Bickford,,44,Exeter,Fitchburg State College, 
1549072,NA,I,2022-06-07,R/R,74,195,4,PA,William,,Binder,,5,Yardley,University of Albany, 
1602559,NA,I,2022-07-11,R/R,74,195,3,PA,Dixon,,Black,,21,Archbald,Monmouth University, 
1584547,NW,P,2022-06-07,R/R,75,195,4,GA,Daniel,,Blair,,23,Peachtree City,University of Texas Austin, 
1558714,NS,O,2022-06-07,L/R,75,210,2,PA,Nathan,,Blasick,,16,Halifax/PA,West Virginia University, 
1558087,WN,C,2022-06-07,R/R,76,220,4,MA,Michael,,Borrelli,,36,Salisbury,Saint Anselm College, 
1548036,OS,I,2022-06-07,L/R,77,202,2,NJ,Justin,,Bosland,,39,Succasunna,Northeastern University, 
1554157,DN,P,2022-06-07,L/L,71,175,2,CT,Jack,,Bowery,,18,North Haven,Marist College, 
1591182,NS,P,2022-06-07,R/R,75,210,2,MA,Patrick,,Bradley-Cooney,,13,Woburn,Essex Community College, 
1601623,MV,I,2022-07-06,R/R,73,185,4,MA,Cavan,,Brady,,7,Sheffield,Wheaton College, 
1586090,MV,C,2022-06-07,L/R,70,180,4,PA,Thomas,,Bramley,,25,Elizabethtown,Penn State University, 
1553835,NS,I,2022-06-07,R/R,72,180,2,MA,Brady,O,Brien,,6,North Andover,Colby College, 
1568980,BR,I,2022-06-18,R/R,74,215,4,CT,Luke,,Broadhurst,,26,Stafford Springs,Eastern Connecticut State University, 
1591090,KN,I,2022-06-07,L/R,72,190,2,MA,James,,Broderick,,22,Wellesley,Wake Forest University, 
1583010,NW,C,2022-07-11,R/R,73,200,3,IL,Bryan,,Broecker,,6,Chicago,Michigan State University, 
1549106,MV,O,2022-06-07,L/L,76,205,2,MA,Harrison,,Brown,,13,Cambridge,Austin Peay State University, 
1561760,KN,I,2022-06-07,R/R,73,195,2,ON,Jaden,,Brown,,33,Mississauga,University of Texas Arlington, 
1555879,KN,P,2022-06-07,L/L,72,185,2,VA,Matthew,,Buchanan,,7,Lebanon,University of Virginia, 
1564478,NS,I,2022-06-07,R/R,73,205,2,NH,Jake,,Bullard,,23,Hampton,Stetson University, 
1589898,NW,C,2022-06-07,R/R,73,195,4,CA,Jacob,,Burley,,8,Hollister,Brown University, 
1580326,MY,P,2022-06-07,R/R,72,190,3,CT,Jared,,Burrows,,17,Waterford,Bryant University, 
1581933,SN,P,2022-06-07,R/R,75,205,2,VA,Ryan,,Butler,,29,Salem,Liberty University, 
1586094,VT,P,2022-06-07,R/L,75,210,3,OH,Zach,,Byron,,21,Cincinnati,Wofford College, 
1554989,BR,C,2022-06-07,R/R,72,200,3,SC,Andrew,,Calhoun,,19,Columbia,Wofford College, 
1550933,VT,P,2022-06-07,R/L,72,195,3,NC,Luke,,Carpenter,,53,Charlotte,Dartmouth College, 
1586119,DN,P,2022-06-07,L/L,76,195,2,FL,Cody,,Carwile,,52,South Pasadena,Georgia Tech, 
1578809,VL,I,2022-06-07,R/R,74,200,4,NJ,Michael,,Casaleggio,,1,Oakland,Palm Beach Atlantic College, 
1576282,OS,I,2022-06-07,R/R,72,205,2,GA,Donovan,,Cash,,0,Sharpsburg,Kennesaw State University, 
1558709,NS,O,2022-06-07,R/R,73,210,3,NJ,Justin,,Cassella,,12,Bernardsville,Elon University, 
1593603,SN,I,2022-06-07,R/R,75,215,3,CA,Marco,,Castillo,,38,Corte Madera,Georgetown University, 
1552840,MV,I,2022-06-20,L/R,69,180,3,AR,Logan,,Chambers,,9,Hot Springs,University of Tennessee, 
1605249,NA,P,2022-07-20,R/R,76,210,3,NJ,Ben,,Chrzanowski,,14,Millburn,University of Massachusetts Amherst, 
1584715,OS,P,2022-06-07,L/L,72,190,4,NJ,Joe,,Cinnella,,21,Mahwah,Seton Hall University, 
1606284,DN,P,2022-07-23,R/R,69,180,4,NJ,Tyler,,Cirone,,41,Midland Park,New Jersey Inst of Tech, 
1587353,OS,O,2022-06-07,L/R,73,230,4,NJ,Peter,,Ciuffreda,,30,Whitehouse Station,Lafayette College, 
1602232,NA,O,2022-07-11,R/R,73,225,3,MA,Trey,,Ciulla-Hall,,52,Brockton,Stonehill College, 
1551569,DN,P,2022-06-07,R/R,74,195,4,OH,Curtis,,Clark,,32,Granville,Capital University, 
1567164,MV,P,2022-06-07,R/R,72,215,4,RI,Zachary,,Clesas,,31,Johnston,Wheaton College, 
1606044,VT,O,2022-07-21,L/R,73,180,3,VT,Dalton,,Cody,,30,Barre,Gordon College, 
1556131,WN,I,2022-06-07,R/R,69,170,2,TX,Brendan,,Concannon,,15,Flower Mound,Paris JC, 
1556794,VT,P,2022-06-07,L/R,72,180,4,VA,Jack,,Cone,,13,Fairfax Station,College of William & Mary, 
1579197,OS,P,2022-06-07,R/R,71,195,3,RI,Nicholas,,Conte,,5,North Providence,Duke University, 
1592336,SN,I,2022-06-07,R/R,68,160,3,MA,AJ,,Cook,,3,Mendon,Elms College, 
1605127,BR,C,2022-07-19,R/R,73,207,4,MA,Craig,,Corliss,,10,Hopkinton,University of Massachusetts Boston, 
1552673,NW,P,2022-06-07,R/R,76,225,3,CT,Tyler,,Cortland,,35,Farmington,Dartmouth College, 
1589438,KN,O,2022-06-07,R/R,74,195,3,FL,Lucas,,Costello,,19,Miami,Wake Forest University, 
1597247,BR,P,2022-06-14,R/R,76,185,2,CT,Alec,,Couture,,34,Plainville,University of Hartford, 
1576607,KN,I,2022-06-07,L/R,70,190,4,CT,Dan,,Covino,,13,Weston,Central Connecticut State University, 
1579785,VT,I,2022-06-07,R/R,73,190,2,CA,Tyler,,Cox,,27,Los Angeles,Dartmouth College, 
1583333,SN,P,2022-06-07,R/R,72,205,4,MA,Brian,,Craven,,22,Hingham,College of William & Mary, 
1593003,MV,I,2022-06-07,R/R,72,205,4,MA,Danny,,Crossen,,20,Cotuit,Northeastern University, 
1597664,NW,P,2022-06-17,L/L,76,218,4,NY,Garrett,,Crowley,,30,Forest Hills,Texas Tech University, 
1599692,OS,P,2022-06-27,L/R,73,220,4,RI,Dom,,Cunha,,38,Lincoln,Fordham University, 
1606104,BR,I,2022-07-21,R/R,72,205,2,CT,Dante,,D&#8217;Amore,,3,Southington,Sacred Heart University, 
